,Title,Published_date,Views,Likes,Favorite,Comments,Month
64,Things to Learn from Viveka #TheInterns2,2021-10-24,94106,5329,0,32,Oct
65,Things to Learn from Lilly #TheInterns2,2021-10-22,161830,7751,0,49,Oct
66,Types of Guys on Dating Apps ft. Kritika Avasthi and Anushka Kaushik,2021-10-09,938390,10498,0,280,Oct
67,The Interns 2 | Episode 2 - Yass Kween | Girliyapa Originals,2021-09-30,1572743,54097,0,988,Sep
68,The Interns 2 | Episode 1 - Call to Action | Girliyapa Originals,2021-09-24,2262295,81345,0,1343,Sep
69,"The Interns 2 | Trailer Ft. Ahsaas Channa, Revathi Pillai & Rashmi Agdekar | Girliyapa Originals",2021-09-17,290572,12291,0,193,Sep
70,Sister Wars: Who will tie the Rakhi? ft. Akanksha Thakur and Urvi Singh,2021-08-21,242636,11137,0,221,Aug
71,"Beta Padhao, Beti Bachao Ft. Lovleen Misra & Simran Natekar",2021-07-27,478765,38585,0,1249,Jul
72,Permission Impossible : Road Trip to Goa Ft. Sanaya Pithawalla,2021-07-16,247347,13100,0,313,Jul
73,How to be A Good Girl ft. Namita Dubey,2021-07-10,1103641,59628,0,1807,Jul
74,"Excuses Girls give to leave a Date ft. Parul Gulati, Tithi Raaj and Khushbu Baid",2021-05-01,469175,24589,0,452,May
75,Valentine's Day of LGBTQ+ Couples | Pride Month special,2021-04-23,275454,15197,0,582,Apr
76,When you hit Puberty ft. Saloni Gaur & Urvi Singh,2021-04-18,1920536,95797,0,1866,Apr
77,Excuses Girls Give to Buy New Clothes | Girliyapa ChickiLeaks,2021-03-25,359783,17167,0,374,Mar
78,Behen Ok Please – To Live in or Not to Live in ft. Shreya Gupto & Sanaya Pithawalla,2021-03-14,174698,6967,0,125,Mar
79,Office Panchayat I Girliyapa Spotlight,2021-03-08,400121,18420,0,441,Mar
80,What Happens in a Beauty Parlour? | Girliyapa's ChickiLeaks,2021-03-05,608552,28425,0,471,Mar
81,Behen Ok Please - Friendzone ft. Shreya Gupto & Sanaya Pithawalla | Girliyapa,2021-03-04,217222,10742,0,158,Mar
82,What Happens in a Girls Hostel? | Girliyapa's ChickiLeaks,2021-02-09,1682659,70090,0,1588,Feb
83,Girls Hostel New Season | Official Trailer | 19th Feb on SonyLIV,2021-02-06,1331419,67769,0,3133,Feb
