,Title,Published_date,Views,Likes,Favorite,Comments,Month
50,TSP's Kangana and Diljit on a Date,2021-02-15,976849,65051,0,4207,Feb
51,"TSP’s Behind The Scenes | Ep04 : Virushka ki Baby Party | Ft. Virat, Anushka & Pandya",2021-01-20,2739744,156576,0,5391,Jan
52,TSP's Baap Baap Hota Hai | Ep08 : Goa Ki Permission,2020-12-22,2233656,135984,0,3013,Dec
53,TSP's Googly Yaad Hai ft. Badri Chavan and Sachin Negi,2020-12-17,705789,41566,0,969,Dec
54,"TSP’s School Diaries | 10th ke baad kya hoga? ft. Pratish, Urvi & Saad",2020-12-10,1989765,110005,0,2926,Dec
55,TSP's If Big B was an ATM ft. Shivankit Parihar & Khushbu Baid,2020-12-02,1270827,71850,0,1885,Dec
56,TSP’s Jab We Met Raavan ft. Gagan Arora & Shivankit,2020-11-07,1658095,69773,0,2526,Nov
57,TSP's Baap Baap Hota Hai | Ep 07 : Naya Kirayedaar ft. Abhinav Anand and Anant Singh 'Bhatu',2020-10-24,2892761,152991,0,2945,Oct
58,"TSP's When You Can’t Say No ft. Shivankit, Shreyasi, Pratish and Deepesh",2020-10-16,1081374,56587,0,1808,Oct
59,TSP's Fun Ki Baat Ft. @Vipul Goyal and Raja Rabish kumar,2020-09-18,809944,38711,0,1433,Sep
60,TSP's Bachelors ka Work From Home Ft. Shivankit & Chote Miyan,2020-09-09,2999681,145774,0,4241,Sep
61,TSP's School Diaries | Online Viva | Teacher's Day Special Ft. Kaushal Sir,2020-09-05,1492619,84701,0,1910,Sep
62,TSP's Behind The Scene: MS DHONI RETIREMENT,2020-08-19,2411820,181155,0,6251,Aug
63,Independence Day LIVE STREAM with RAJA RABISH KUMAR,2020-08-15,607331,33743,0,1404,Aug
64,TSP's Rabish ki report Unlock 2.0 | Ep 14 : लौंडों का दर्द,2020-08-08,1906810,109527,0,7885,Aug
65,TSP's YouTubers On Nepotism,2020-07-30,530778,47022,0,2977,Jul
66,TSP's Bachelors Vs Landlords | A Rant,2020-06-15,1796533,36888,0,1020,Jun
67,TSP's Lockdown In Different States,2020-06-09,1464277,80478,0,5190,Jun
68,TSP's Googly | What To Watch Next?,2020-06-01,855942,60794,0,2120,Jun
