,Title,Published_date,Views,Likes,Favorite,Comments,Month
43,"Date With College Junior | EP 3 | Ft. Abhishek, Usmaan & Mugdha | Hasley India Channels!",2021-08-16,2751313,148624,0,2917,Aug
44,"Date With College Junior | EP 2 | Ft. Twarita, Abhishek, Usmaan & Binita | Hasley India Originals!",2021-08-06,3471614,172688,0,3669,Aug
45,"Date With College Junior | EP 1 | Ft. Twarita Nagar, Abhishek & Usmaan | Hasley India Originals!",2021-07-31,5012925,199069,0,2647,Jul
46,"Sharing Flat With Neighbour Ft. Anushka Kaushik, Abhishek & Usmaan | Hasley India Originals!",2021-07-24,3532389,147976,0,1805,Jul
47,"When Delhi Girl Meets Mumbai Guy Ft. Twarita Nagar, Qabeer Singh | Hasley India Originals!",2021-07-19,1287712,60456,0,1743,Jul
48,"Story of an Intern Ft. Anushka Kaushik, Abhishek | Toofaan Spoof | Hasley India Originals!",2021-07-06,983517,44147,0,644,Jul
49,Life Of A CA Aspirant Ft. Gaurav Arora & Pratishtha Sharma | Hasley India Originals!,2021-06-25,1132240,88174,0,4624,Jun
50,Dating An Airhostess Ft. Twarita Nagar & Abhishek Kapoor | Hasley India Originals!,2021-06-16,3784056,155724,0,2187,Jun
51,BROCODE Vs Girlfriend Ft. Keshav Sadhna & Twarita Nagar | Hasley India,2021-06-05,708331,44783,0,1804,Jun
52,"Singles During Lockdown Ft. Anushka Kaushik, Rishabh Puri | Hasley India Originals!",2021-05-19,684350,31633,0,606,May
53,"When You Visit Thailand For The First Time Ft. Ashish Chanchlani, Twarita Nagar | #Shorts",2021-05-06,5694050,232144,0,613,May
54,When Your Boss Wants Daaru Ft. Rishhsome & Usmaan | Hasley India Originals!,2021-04-29,250787,12399,0,330,Apr
55,"Friends With Benefits Ft. Twarita Nagar, Abhishek Kapoor | Hasley India Originals!",2021-04-09,5839641,227112,0,2740,Apr
56,"Poles Apart | E03- Close But Apart Ft.Tanya Singh, Abhishek Kapoor |Webseries|Hasley Originals!",2021-03-30,1771688,99566,0,3135,Mar
57,"Poles Apart | E02 - Pause And Rewind Ft. Tanya Singh, Abhishek Kapoor | Webseries |Hasley Originals!",2021-03-23,1959955,100936,0,3051,Mar
58,"Poles Apart | E01-First Day Of College Ft.Tanya Singh, Abhishek Kapoor| Webseries| Hasley Originals!",2021-03-16,4082563,157838,0,3156,Mar
59,Poles Apart| Trailer | Webseries| Hasley Originals!,2021-03-09,370421,17156,0,406,Mar
60,Locked In A Car With EX Ft. Anushka Kaushik & Abhishek Kapoor | Hasley India Originals!,2021-02-26,4848740,237570,0,5382,Feb
61,"When Bestfriend Falls for the Same Guy Ft. Twarita,Usmaan,Tena & Sameer | Hasley India",2021-01-30,722775,37529,0,783,Jan
62,"Not Dating - Official Song | Farq Hai by Suzonn Ft. Anushka Kaushik, Abhishek,Twarita| Webseries",2021-01-22,1102358,56556,0,3333,Jan
63,"Not Dating | E05 - Season Finale Ft. Anushka Kaushik, Abhishek & Twarita Nagar | Webseries",2021-01-15,2799150,158281,0,6958,Jan
64,"Not Dating | E04 - New Attachments Ft. Anushka Kaushik, Abhishek & Twarita | Webseries",2021-01-07,2667459,117905,0,3500,Jan
65,Love At First FIGHT | Ft. Shreya Singh & Abhinav Anand | Hasley India,2020-12-29,644995,33705,0,853,Dec
66,"Not Dating | E03 - Close But Apart Ft. Anushka Kaushik, Abhishek, Shreya & Abhinav | Webseries",2020-12-21,2711635,119149,0,2145,Dec
67,"Not Dating | E02 - Career Vs Love Ft. Anushka Kaushik, Abhishek, Shreya & Abhinav | Webseries",2020-12-15,3055677,136279,0,1933,Dec
68,"Not Dating | E01 - New Girl In Office Ft. Anushka Kaushik, Abhishek, Shreya & Abhinav | Webseries",2020-12-08,4369199,148044,0,2152,Dec
69,"Date With Your Opposite Ft. Twarita Nagar, Sameer | Hasley India",2020-11-26,636657,33493,0,684,Nov
70,"Baap Vs Beta Ft. Keshav Sadhna, Payaal Jain, Sudhir Guliyani | Hasley India",2020-11-10,1013729,47337,0,454,Nov
71,Middle Class Family Picnic Ft. Anushka Kaushik & Rishabh | Hasley India,2020-11-05,815094,45547,0,677,Nov
72,"Dating Brother's Bestfriend Ft. Twarita Nagar, Abhishek Kapoor",2020-10-21,4244607,187306,0,3901,Oct
73,"Sharing Flat With Girlfriend Ft. Anushka Kaushik, Abhishek & Sidhant Kapoor | Hasley India",2020-10-09,4268024,176318,0,1587,Oct
74,Couples During Suhag Raat Ft. Shreya Singh & Abhishek Kapoor,2020-09-20,2290306,86163,0,1229,Sep
75,"Brocode Vs Girlfriend (PART 2) Ft. Abhishek Kapoor, Usmaan and Nicki| Hasley India",2020-09-04,1807174,90628,0,1291,Sep
76,"Couple During First Time Ft. Twarita Nagar, Sameer Monga | Hasley India",2020-08-19,3982200,138353,0,2230,Aug
77,"Date With Senior Ft. Shreya Singh, Abhishek Kapoor | Hasley India",2020-07-27,3636459,159877,0,3875,Jul
78,"Brocode Vs Girlfriend (PART 1) Ft. Pataakha | Twarita Nagar, Abhishek Kapoor",2020-07-17,4550030,216021,0,9036,Jul
79,"Every Single Vs Committed Call Ft. Rishhsome, Simran Dhanwani | Hasley India",2020-05-28,573509,41658,0,3885,May
80,Date With Your Neighbour Ft. Keshav Sadhna & Shreya Gupto | Hasley India,2020-05-21,1478419,69616,0,748,May
81,When You Fall For The Wrong Girl Ft. Shreya Gupto & Abhinav Anand,2020-04-28,1064794,38839,0,796,Apr
