,Title,Published_date,Views,Favorite,Comments,Month
68,"5 Best Books for Everyone | For Self Development, Startups, Investment  & Family Relations",2021-10-16,681283,0,1416,Oct
69,Class 12 | Last 1 Month Strategy | Score 97% in your Board Exam | Term 1,2021-10-06,653504,0,2942,Oct
70,Try it for 30 days!  I assure this will change your Life!,2021-10-04,1488093,0,4447,Oct
71,Business in One Shot | Students Special | Success & Failure Mantras,2021-09-26,329914,0,1718,Sep
72,How to become a Millionaire in early 20's ? Step by step guide,2021-09-22,2187531,0,9689,Sep
73,How to Convince your Parents for your Career Choice/ New Career?,2021-09-20,198894,0,1628,Sep
74,How to be Truly Productive in Life ? Step by step Explanation,2021-09-19,511527,0,2397,Sep
75,Official SONG - Dedicated to all students | Padh hi lenge hum | Cocoon ❤️ | Amritanshu Sinha,2021-09-17,1084164,0,3469,Sep
76,2 Lessons  College Life Taught me | What after Class 12th? | Java Launch 🔥 @Apna College,2021-09-16,351770,0,2695,Sep
77,Maine Haar Manli Bhaiya | Strongest Honest Talk for Students 🔥,2021-09-13,867324,0,4499,Sep
78,Cocoon ❤️  Episode 3 : Udaan | The Final Chapter 🔥,2021-09-04,1193942,0,8175,Sep
79,Apni Kaksha Training Program 🔥 | Job Opportunities for Students & Teachers of India 🔥,2021-09-02,322334,0,3148,Sep
80,Cocoon ❤️  | Episode 2 | Pehla Pyaar,2021-08-29,1217128,0,10415,Aug
81,Cocoon ❤️ | Episode 1 | Umeed,2021-08-26,1361257,0,10541,Aug
82,Class 12 - MCQ Marathon for Term 1 Board Exams for PCMB,2021-08-21,224571,0,1878,Aug
83,New Surprise - Bhaiya mere liye kab kuch karoge ? | New Channel for ?,2021-08-20,257340,0,2633,Aug
84,Cocoon - Official Song Release | Behne Do Na | Cocoon x Vismay Patel,2021-08-17,1202174,0,7707,Aug
85,"Revolution Begins ❤️  2,00,000+ record registrations | We are Expanding with more Free Channels",2021-08-08,393551,0,4172,Aug
86,Big Reveal : Free and Structured for all students | Apni Kaksha Website & Apni Kaksha JEE Launch,2021-08-05,395083,0,3736,Aug
87,Biggest Launch for all students ❤️ | New App + Big Reveal,2021-08-02,820539,0,10992,Aug
88,Cocoon - Web Series | Official Trailer | 2021,2021-07-31,1078370,0,8015,Jul
89,Biggest Surprise for all students❤️ | New Office | New Courses | Top Ranker Faculties for students,2021-07-21,1165995,0,12841,Jul
90,Cocoon - Web Series | Official Teaser | 2021,2021-07-20,984720,0,5936,Jul
91,How to study for Class 12 Board Exam ? |  Term 1 & Term 2 ? Resources and Major mistakes.,2021-07-11,781060,0,4009,Jul
92,Bitcoin | Comparison with Real Estate & Stock Market | An Honest Talk,2021-07-09,237306,0,2260,Jul
93,Biggest News for Class 10 & Class 12 🔥 | Pura Format badal diya,2021-07-05,1004511,0,5510,Jul
94,IIT Bombay College Review | All about IIT Bombay,2021-06-27,682266,0,5335,Jun
95,Right age for Relationships ? Reality of College Love,2021-06-21,814952,0,6983,Jun
96,Big News - Class 12th Result | Official | Students can Reappear,2021-06-17,309250,0,2152,Jun
97,"Job Opportunities after Class 12th | Full time, Part-time Jobs | by Aman Dhattarwal",2021-06-16,1583478,0,4296,Jun
98,We are Hiring Faculties for JEE/NEET and Coding,2021-06-13,147241,0,2105,Jun
99,Class 12 | JEE/NEET | 9 Most Important Study Tips🔥 | 2021-22,2021-06-12,426350,0,2596,Jun
100,How to earn money online ? Top 10 Jobs for students | We are hiring,2021-06-08,2411739,0,5765,Jun
101,Black & White Talk | Must watch for students | How Job Opportunities will change in coming decades?,2021-06-04,932363,0,9496,Jun
102,Big News : Class 12 Board Exam Cancelled @Apni Kaksha - 9th & 10th,2021-06-01,534132,0,4950,Jun
103,Facebook Instagram Twitter - Banned in 2 days?,2021-05-25,594613,0,13034,May
104,Maha Revolution - Complete Class 12 Course for FREE | by Top Faculties | Chemistry |,2021-05-21,312187,0,5507,May
105,Every 20 year old need to hear this | by Aman Dhattarwal,2021-05-19,527855,0,769,May
106,Urgent: Sab aa Jao! | Universities Forcing Students to Pay | Honest Talk,2021-05-12,559491,0,6642,May
107,First Time in India | Now get job in Top Companies | Complete Job Placement Course,2021-05-09,721994,0,4760,May
108,Big News for Class 12 Students | Complete Class 12 Physics in 1.5 Months,2021-05-07,434539,0,7770,May
109,How to overcome sleep while studying? | Study tips for students,2021-05-03,1023056,0,3494,May
110,अब युद्ध होगा - This August 2021 | Watch Till The End!,2021-05-01,1034912,0,2958,May
111,Account Hacked - Check Description Box for New account 🙏🏻,2021-04-30,383224,0,2198,Apr
112,Stream Selection | How to choose stream after Class 10 | Major Mistakes,2021-04-22,402761,0,4329,Apr
113,CBSE Board Exam Cancelled | Big News | Class 10 & Class 12,2021-04-14,764146,0,6312,Apr
114,Cancel Board Exam | Class 12 & Class 10  | OnstudentDemand,2021-04-13,632431,0,7304,Apr
115,Shaayari for all Students | Malaal,2021-04-12,1092149,0,2147,Apr
116,How to study for Class 12 Board Exam | Last 25 days Success Strategy,2021-04-05,403650,0,4226,Apr
117,An Inspirational Honest Talk for students by Aman Dhattarwal,2021-03-29,787918,0,5718,Mar
118,How to Rise from Failure ? | Procrastination | For all students,2021-03-11,590318,0,3706,Mar
119,Best Study Strategy for any Exam | RoadMap of Toppers,2021-02-08,2095958,0,13427,Feb
120,AUKAT - Honest Talk | How to become Financially Independent in early 20's ? 5 Hour+ LIVE Session,2021-01-29,936465,0,5780,Jan
121,Launching Official LOGO🔥,2021-01-14,439703,0,2323,Jan
122,2020 | The Most Special year of my Life till now 🔥,2020-12-31,474072,0,3274,Dec
123,Revolution Continued -Physics Wallah & Aman Dhattarwal | (Link in description box🔥),2020-12-27,1088405,0,6608,Dec
124,The Best Time Table for every student | 5 Big Mistakes | SuperTips,2020-11-26,6341520,0,20530,Nov
125,Unleashing Honest Talk🔥 | Risk hei to Ishq Hei | A MUST for all Students | Motivational video,2020-11-03,1255578,0,7621,Nov
126,Class 12 | Last 3 months Strategy | Score 96%+  in your Board Exam,2020-10-31,1553503,0,12856,Oct
127,How to get a Rs1 Crore Placement | Step by step RoadMap | How to Crack Dream Companies,2020-10-19,1077032,0,6264,Oct
128,Educational Revolution 🔥| I am sorry for their loss | Check Description Box,2020-10-08,1648168,0,33004,Oct
129,Aman Dhattarwal EXPOSED | MEI BIK GAYA | #HonestTalk,2020-08-25,2279384,0,35545,Aug
130,Modiji aaj please suniye | An appeal by the Youngsters of this nation |NEET/JEE,2020-08-21,821317,0,8581,Aug
131,3 Most Important Skills to be Successful | for all students | Honest Talk,2020-08-18,1320178,0,5945,Aug
132,Rich vs Poor Mentality | The Biggest Lie | Honest Talk,2020-08-11,505688,0,4091,Aug
133,Big Announcement for all students,2020-08-06,595367,0,4776,Aug
134,Biggest News:Full syllabus of all classes changed | New Education Policy 2020 | New Education System,2020-07-29,2610308,0,24152,Jul
135,The only way to Huge Success | Honest Talk,2020-07-21,694876,0,5133,Jul
136,How to study Online? | Don't do these Mistakes | How to Manage School and Coaching | Honest Talk,2020-07-18,1388988,0,5311,Jul
137,Class 12 Board Exam | Topper's Interview - 99.6% (Humanities) | Pro-Insights with Aman | #6,2020-07-15,842283,0,4082,Jul
138,CBSE Class 12 Result Out🔥 | 2020 | CBSE Board Exam Result | Latest News,2020-07-13,361691,0,2920,Jul
139,How to crack Microsoft Off-campus placement | #4 Pro-Insights with Aman Dhattarwal,2020-07-11,995466,0,2725,Jul
140,Class 12 Board New Syllabus : List of all Questions & Exercises removed in PCM| 2020-21🔥,2020-07-08,1019988,0,6003,Jul
141,Powerful Honest Talk Package by Aman Dhattarwal | Tu Phodega🔥,2020-07-05,1236018,0,3928,Jul
142,Tiktok Banned: Late night talks with Aman Dhattarwal,2020-06-29,271108,0,1933,Jun
143,A Fresh Start : How to study for Class 12 Board Exam and JEE Main/Advanced,2020-06-29,607436,0,3326,Jun
144,Depression & Suicide | Shocking Facts | 2 Million | Honest Talk #13,2020-06-16,466746,0,4953,Jun
145,Iske baad Phod Doge | Honest Talk for all students | #11,2020-06-03,955743,0,5094,Jun
