,Title,Published_date,Views,Likes,Favorite,Comments,Month
66,Taking user input in Python  | Python Tutorial #8,2019-08-18,21824,454,0,33,Aug
67,F-strings in Python | Python Tutorial #7,2019-08-18,8848,286,0,45,Aug
68,Exercise 1: Capitalize my name & String concatenation | Python Tutorial #6,2019-08-18,6411,176,0,88,Aug
69,Python strings and built in string methods | Python Tutorial #5,2019-08-17,11221,414,0,27,Aug
70,Operators in Python | Python Tutorial #4,2019-08-17,7708,311,0,19,Aug
71,Numbers & Typecasting in python | Python Tutorial #3,2019-08-17,14692,460,0,30,Aug
72,Variables & Comments in Python | Python Tutorial #2,2019-08-17,20240,704,0,66,Aug
73,"Installing VS Code, Python & writing hello world Python code | Python Tutorial #1",2019-08-16,314622,8061,0,714,Aug
74,Django queryset tutorial: Making Queries in Django,2019-08-15,48155,463,0,44,Aug
75,Django 2.2 Tutorial For Beginners,2019-06-15,53862,1011,0,92,Jun
76,[Solved] No python interpreter configured for the project pycharm,2019-06-15,361996,6744,0,683,Jun
77,[Solved] Invalid python interpreter selected for the project pycharm,2019-06-14,38085,1008,0,109,Jun
78,"[SOLVED] pip is not recognized as an internal or external command, operable program or batch file",2019-06-13,195429,3744,0,465,Jun
79,Python Tutorial For Beginners (Complete Course),2019-06-12,346390,10053,0,1646,Jun
